,Player Name,Team,Position,w,k,sv,era,whip,score
757,Lucas Harrell,HOU,SP,6,72,0,5.08,1.57,1937
456,Rafael Betancourt,COL,RP,2,27,1,4.12,1.32,1936
457,Daniel Hudson,ARI,RP,2,36,0,4.18,1.33,1928
509,Steven Geltz,TB,RP,1,17,0,3.65,1.22,1926
466,Nate Jones,CWS,RP,2,23,0,3.81,1.33,1919
656,Robert Stephenson,CIN,SP,4,66,0,5.17,1.47,1917
503,Daniel Webb,CWS,RP,3,41,1,4.19,1.5,1909
472,Shaun Marcum,FA,"SP,RP",2,39,0,4.34,1.33,1905
474,Martin Perez,TEX,"SP,RP",3,34,0,4.22,1.39,1900
590,Zeke Spruill,BOS,RP,4,44,0,4.58,1.45,1887
496,Taylor Jordan,WSH,SP,2,27,0,3.96,1.34,1881
504,David Huff,NYY,RP,3,36,0,4.49,1.37,1880
447,Joel Hanrahan,DET,RP,3,36,0,4.08,1.45,1880
491,Donovan Hand,FA,RP,2,39,0,4.26,1.35,1875
471,C.C. Lee,CLE,RP,1,30,0,3.87,1.29,1869
638,Dylan Axelrod,CIN,"SP,RP",4,52,0,4.96,1.45,1869
568,Erik Bedard,TB,SP,3,46,0,4.57,1.43,1861
469,Brandon Gomes,TB,RP,2,28,0,4.34,1.28,1858
467,Michael Tonkin,MIN,RP,2,32,0,3.99,1.37,1850
523,Mike Kickham,CHC,RP,3,44,0,4.4,1.45,1848
473,Vin Mazzaro,PIT,RP,2,23,0,3.71,1.37,1846
498,Matthew Wisler,SD,SP,2,25,0,3.79,1.37,1839
774,Roberto Osuna,TOR,P,2,41,0,4.46,1.35,1835
475,Brad Lincoln,PIT,RP,2,36,0,4.19,1.36,1832
486,Jason Lane,SD,"P,RP,SP",2,24,0,4.26,1.28,1831
482,Miguel Castro,TOR,"RP,SP",2,39,0,4.15,1.39,1829
570,Raul Valdes,TOR,RP,2,37,1,5.35,1.29,1828
729,Eddie Butler,COL,SP,5,48,0,4.81,1.52,1827
512,Ben Rowen,TEX,RP,1,16,0,3.65,1.28,1823
515,Javy Guerra,CWS,RP,2,39,1,4.14,1.44,1815
487,Brett Bochy,SF,RP,2,19,0,3.81,1.35,1814
681,Brad Peacock,HOU,"SP,RP",3,64,0,4.85,1.51,1813
634,Jeff Francis,NYY,RP,3,47,0,5.19,1.4,1812
555,Franklin Morales,KC,"SP,RP",3,44,0,4.47,1.46,1811
485,Rob Scahill,PIT,RP,2,29,0,3.97,1.38,1807
536,Matt Harrison,TEX,SP,3,31,0,4.19,1.42,1805
651,Adam Morgan,PHI,SP,3,49,0,4.85,1.44,1796
489,Luis Garcia,PHI,RP,2,37,0,3.97,1.44,1795
502,Corey Knebel,MIL,RP,1,23,0,3.79,1.3,1792
492,Roman Mendez,TEX,RP,2,34,0,4.03,1.4,1786
597,Adam Conley,MIA,SP,3,38,0,4.37,1.45,1777
712,Christian Bergman,COL,"SP,RP",4,44,0,5.32,1.44,1776
494,Stolmy Pimentel,PIT,RP,2,37,0,4.15,1.4,1775
529,Gavin Floyd,CLE,SP,2,29,0,4.25,1.34,1766
558,Tyler Chatwood,COL,SP,3,32,0,4.23,1.44,1764
661,Jacob Turner,CHC,"SP,RP",3,46,0,4.81,1.45,1763
511,Jeanmar Gomez,PHI,RP,2,33,0,4.21,1.37,1755
642,Christian Friedrich,COL,"SP,RP",3,50,0,5.23,1.44,1754
507,Dustin McGowan,PHI,"SP,RP",2,36,0,4.21,1.39,1754
539,Bruce Chen,KC,"SP,RP",3,33,0,4.71,1.38,1753
490,Erik Cordier,SF,RP,1,29,0,3.56,1.39,1752
732,Tim Berry,BAL,"RP,SP",4,49,0,5.27,1.49,1751
495,Juan Jaime,ATL,RP,2,44,0,4.04,1.51,1747
518,Chad Jenkins,TOR,RP,2,24,0,4.21,1.33,1746
685,Juan Oramas,TOR,SP,3,52,0,5.01,1.47,1746
540,Robert Wooten,MIL,RP,1,16,0,3.84,1.28,1745
684,Taylor Jungmann,MIL,SP,3,48,0,4.83,1.47,1743
696,Mike Montgomery,SEA,SP,4,43,0,4.87,1.49,1740
645,Miles Mikolas,TEX,"SP,RP",3,38,0,5.11,1.39,1740
537,Enrique Burgos,ARI,SP,2,44,0,4.16,1.47,1735
524,Francisley Bueno,KC,RP,1,18,0,3.64,1.33,1731
517,Casey Kelly,SD,"SP,RP",1,24,0,4.09,1.28,1720
534,Chaz Roe,PIT,RP,1,19,0,3.81,1.31,1713
686,Enny Romero,TB,SP,3,47,0,4.72,1.51,1713
682,Josh Roenicke,FA,RP,3,39,1,4.59,1.53,1711
500,Cesar Jimenez,PHI,RP,2,22,0,3.84,1.4,1707
530,Nick Greenwood,STL,RP,2,20,0,4.48,1.28,1707
501,Preston Claiborne,MIA,RP,2,26,0,3.98,1.4,1705
506,Donnie Veal,CWS,RP,3,33,0,4.27,1.48,1698
522,Bobby LaFromboise,PIT,RP,1,24,0,3.9,1.33,1696
499,Eury De La Rosa,OAK,RP,2,27,0,3.94,1.42,1695
516,Brooks Brown,COL,RP,1,29,0,4.22,1.29,1693
556,Carlos Frias,LAD,RP,2,33,0,4.65,1.34,1685
672,Alex Sanabia,ARI,SP,3,40,0,4.83,1.45,1684
767,P.J. Walters,FA,SP,4,52,0,5.77,1.58,1684
505,Brandon Cunniff,ATL,RP,1,33,0,3.89,1.38,1684
769,Tyler Cloyd,FA,SP,3,60,0,6.11,1.52,1680
493,Shawn Armstrong,CLE,RP,2,31,0,4.23,1.39,1674
542,Brian Schlitter,CHC,RP,2,28,0,4.15,1.39,1674
508,A.J. Achter,MIN,RP,2,24,0,4.09,1.38,1672
526,Austin Adams,CLE,RP,1,25,0,3.99,1.33,1671
695,Jarrett Grube,LAA,RP,3,40,0,5.07,1.44,1671
535,Jake Dunning,SF,RP,1,20,0,3.71,1.35,1669
532,Burch Smith,TB,"SP,RP",2,37,0,4.58,1.38,1668
630,David Holmberg,CIN,"SP,RP",3,35,0,4.74,1.43,1665
626,Steven Wright,BOS,RP,3,37,0,4.62,1.47,1660
655,Ross Ohlendorf,WSH,"SP,RP",4,39,0,5.17,1.49,1659
